"YEAR","MONTH","RESOURCE TYPE","RESOURCE ID","ISSN/ISBN","RESOURCE","RESOURCE URL","RESOURCE LAUNCH","AUTHOR","FORMAT","REQUESTS"
2018,3,"journal",3,"1536-0075","The American Journal of Bioethics","http://muse.jhu.edu/journal/3","2002-02-01",,"html",297
2018,3,"journal",3,"1536-0075","The American Journal of Bioethics","http://muse.jhu.edu/journal/3","2002-02-01",,"pdf",215
2018,3,"journal",34,"1531-5169","Computer Music Journal","http://muse.jhu.edu/journal/34","2001-03-01",,"html",667
2018,3,"journal",34,"1531-5169","Computer Music Journal","http://muse.jhu.edu/journal/34","2001-03-01",,"pdf",644
2018,3,"journal",43,"1531-3298","Journal of Cold War Studies","http://muse.jhu.edu/journal/43","1999-01-01",,"html",6189
2018,3,"journal",43,"1531-3298","Journal of Cold War Studies","http://muse.jhu.edu/journal/43","1999-01-01",,"pdf",3341
2018,3,"journal",83,"1531-5088","International Organization","http://muse.jhu.edu/journal/83","2002-02-01",,"html",200
2018,3,"journal",83,"1531-5088","International Organization","http://muse.jhu.edu/journal/83","2002-02-01",,"pdf",133
2018,3,"journal",84,"1531-4804","International Security","http://muse.jhu.edu/journal/84","2001-03-01",,"html",13470
2018,3,"journal",84,"1531-4804","International Security","http://muse.jhu.edu/journal/84","2001-03-01",,"pdf",16097
2018,3,"journal",94,"1530-9169","Journal of Interdisciplinary History","http://muse.jhu.edu/journal/94","1999-05-01",,"html",5372
2018,3,"journal",94,"1530-9169","Journal of Interdisciplinary History","http://muse.jhu.edu/journal/94","1999-05-01",,"pdf",2142
2018,3,"journal",116,"1530-9282","Leonardo","http://muse.jhu.edu/journal/116","2001-02-01",,"html",5699
2018,3,"journal",116,"1530-9282","Leonardo","http://muse.jhu.edu/journal/116","2001-02-01",,"pdf",5664
2018,3,"journal",117,"1530-9150","Linguistic Inquiry","http://muse.jhu.edu/journal/117","2000-10-01",,"html",859
2018,3,"journal",117,"1530-9150","Linguistic Inquiry","http://muse.jhu.edu/journal/117","2000-10-01",,"pdf",616
2018,3,"journal",119,"1531-4812","Leonardo Music Journal","http://muse.jhu.edu/journal/119","2000-12-01",,"html",828
2018,3,"journal",119,"1531-4812","Leonardo Music Journal","http://muse.jhu.edu/journal/119","2000-12-01",,"pdf",511
2018,3,"journal",149,"1537-9477","PAJ: A Journal of Performance and Art","http://muse.jhu.edu/journal/149","1996-01-01",,"html",2140
2018,3,"journal",149,"1537-9477","PAJ: A Journal of Performance and Art","http://muse.jhu.edu/journal/149","1996-01-01",,"pdf",1461
2018,3,"journal",163,"1530-9274","Perspectives on Science","http://muse.jhu.edu/journal/163","1998-04-01",,"html",810
